I, [2023-10-04T15:09:59.279505 #580428]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.3.2)
E, [2023-10-04T15:09:59.279796 #580428] ERROR -- Kitchen: ------Exception-------
E, [2023-10-04T15:09:59.279823 #580428] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2023-10-04T15:09:59.279846 #580428] ERROR -- Kitchen: Message: Kitchen YAML file /home/jimboadmin/deploy-context/kitchen.yml does not exist.
E, [2023-10-04T15:09:59.279863 #580428] ERROR -- Kitchen: ----------------------
E, [2023-10-04T15:09:59.279880 #580428] ERROR -- Kitchen: ------Backtrace-------
E, [2023-10-04T15:09:59.279896 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2023-10-04T15:09:59.279913 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:153:in `data'
E, [2023-10-04T15:09:59.279931 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:131:in `suites'
E, [2023-10-04T15:09:59.279948 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:183:in `filter_instances'
E, [2023-10-04T15:09:59.279965 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:142:in `build_instances'
E, [2023-10-04T15:09:59.279982 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:116:in `instances'
E, [2023-10-04T15:09:59.279999 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2023-10-04T15:09:59.280016 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2023-10-04T15:09:59.280033 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/command/test.rb:39:in `block in call'
E, [2023-10-04T15:09:59.280061 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/3.0.0/benchmark.rb:293:in `measure'
E, [2023-10-04T15:09:59.280084 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/command/test.rb:37:in `call'
E, [2023-10-04T15:09:59.280102 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/cli.rb:52:in `perform'
E, [2023-10-04T15:09:59.280119 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/cli.rb:250:in `test'
E, [2023-10-04T15:09:59.280136 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/command.rb:27:in `run'
E, [2023-10-04T15:09:59.280153 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/invocation.rb:127:in `invoke_command'
E, [2023-10-04T15:09:59.280170 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor.rb:392:in `dispatch'
E, [2023-10-04T15:09:59.280187 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/base.rb:485:in `start'
E, [2023-10-04T15:09:59.280204 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/bin/kitchen:11:in `block in <top (required)>'
E, [2023-10-04T15:09:59.280221 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/errors.rb:183:in `with_friendly_errors'
E, [2023-10-04T15:09:59.280238 #580428] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/bin/kitchen:11:in `<top (required)>'
E, [2023-10-04T15:09:59.280255 #580428] ERROR -- Kitchen: /opt/chef-workstation/bin/kitchen:389:in `load'
E, [2023-10-04T15:09:59.280271 #580428] ERROR -- Kitchen: /opt/chef-workstation/bin/kitchen:389:in `<main>'
E, [2023-10-04T15:09:59.280296 #580428] ERROR -- Kitchen: ----End Backtrace-----
